machine_slug,machine_name,manufacturer,category,release_year,price_last_updated,motor_hp,voltage,blade_size,cut_capacity_height,cut_capacity_width,table_dimensions,weight_lbs,dust_port_diameter,tier,who_its_for,owner_praise,owner_limitations,upgrade_compatibility,affiliate_link_1,affiliate_retailer_1,affiliate_price_1,affiliate_link_2,affiliate_retailer_2,affiliate_price_2,affiliate_link_3,affiliate_retailer_3,affiliate_price_3,compare_1_slug,compare_1_note,compare_2_slug,compare_2_note,compare_3_slug,compare_3_note,status,date_published,notes,last_updated
ryobi-rts12,RYOBI 15 Amp 10 in. Table Saw with Folding Stand (RTS12),Ryobi,Table Saw,2020,7/6/2026,,120V,,,,,51,2.5,Weekend Warrior,"This is a good first saw for someone setting up a garage shop on a tight budget or a homeowner who needs to rip a few boards and break down plywood now and then. It handles construction lumber and light furniture stock without complaint. If you plan to do fine joinery or want dead-accurate repeat cuts all day, you will outgrow it.",Cheap enough to buy without much thought | Light and easy to move around a one-car garage | Folding stand is quick to open and put away | Plenty of power for 2x material and plywood,Fence needs checking and sometimes shimming for square rips | Miter gauge feels loose and cheap | 12 inch right rip limits wide sheet cuts | Dust pickup is weak even with a shop vac attached,"Takes any standard 10-inch, 5/8-inch arbor blade, so a decent 40-tooth combo blade is the first worthwhile change. It does not accept a dado stack. The fence and stand are not really upgradeable, so plan to add an outfeed table or a simple shop-built crosscut sled if you want cleaner results.",https://www.homedepot.com/p/RYOBI-15-Amp-10-in-Compact-Portable-Corded-Jobsite-Table-Saw-with-Folding-Stand-RTS12/309412842,Home Depot,229,,,,,,,ryobi-rts08,The RTS08 is a smaller 8-1/4 inch compact without a stand at a lower price.,dewalt-dwe7491rs,The DeWalt DWE7491RS steps up to a rack-and-pinion fence and rolling stand for more accuracy.,bosch-4100xc-10,The Bosch 4100XC adds a gravity-rise stand and smoother cuts at a higher price.,Live,7/7/2026,New 7/6/2026. Price $229 VERIFIED on Home Depot page. Big-box retailer (not a preferred woodworking affiliate); Home Depot is monetizable via the site Impact tag. HP not published (15A). Community substantive.,2026-07-06
ryobi-rts08,RYOBI 13 Amp 8-1/4 in. Compact Portable Jobsite Table Saw (RTS08),Ryobi,Table Saw,2020,7/6/2026,,120V,,,,,32,2.5,Weekend Warrior,"This is about the most affordable way into a real table saw, so it fits a renter, a beginner, or anyone who needs an occasional saw that tucks away on a shelf. It does great with plywood, trim, and thin stock on a workbench. If you want a stand, deeper cuts, or a wide selection of blades, step up to a 10-inch saw.",One of the cheapest new saws that still cuts clean | Light enough to store on a shelf and carry one-handed | Rack and pinion fence slides smoothly and holds square | Huge owner base means plenty of help and reviews online,"No stand, so you supply your own bench | Smaller 8-1/4 inch blade limits cut depth and blade choices | Little table offers weak support for big sheets | Not happy ripping thick hardwood or running for long stretches","It uses 8-1/4 inch, 5/8-inch arbor blades, a smaller and less common size, so pick up a good thin-kerf blade for cleaner cuts. There is no dado capability. Since it ships without a stand, the first real add-on is a solid bench or a small rolling table, plus a shop vac on the 2.5-inch port.",https://www.homedepot.com/p/RYOBI-13-Amp-8-1-4-in-Compact-Portable-Corded-Jobsite-Table-Saw-No-Stand-RTS08/309412837,Home Depot,149,,,,,,,ryobi-rts12,The RTS12 is a full 10-inch saw with a folding stand for a bit more money.,dewalt-dwe7491rs,The DeWalt DWE7491RS is a far more capable jobsite saw with a rolling stand.,metabo-hpt-c10rjs,The Metabo HPT C10RJS offers 35 inches of rip and a fold-and-roll stand at a higher price.,Live,7/7/2026,"New 7/6/2026. Price $149 VERIFIED on Home Depot page, 2266 ratings. 8-1/4 inch blade. Big-box retailer (Impact-monetizable). HP not published (13A).",2026-07-06
craftsman-cmxetax69434502,CRAFTSMAN 10 in. 15 Amp Portable Jobsite Table Saw with Folding Stand (CMXETAX69434502),Craftsman,Table Saw,2019,7/6/2026,,120V,,,,,58,2.5,Weekend Warrior,"A solid pick for a weekend woodworker or a DIYer doing home projects who wants a familiar name and a real aluminum top without spending much. It manages framing lumber, trim, and plywood breakdown well. Anyone chasing furniture-grade accuracy or running a dado stack should keep shopping.",Very low price for a saw with a metal table and stand | Flat cast aluminum top holds a straight cut | Roll cage frame shrugs off jobsite bumps | Fence locks at both ends and stays where you set it,Fence often needs squaring before you trust it | Folding the stand takes a couple of steps | 12 inch right rip is tight for big sheets | Guard assembly is awkward to work around,"Runs standard 10-inch, 5/8-inch arbor blades, and swapping in a good 40-tooth blade sharpens up cut quality right away. There is no dado capability on this model. The fence and stand are what they are, so a shop-made crosscut sled and an outfeed surface are the practical upgrades.",https://www.lowes.com/pd/CRAFTSMAN-10-in-Carbide-Tipped-Blade-15-Amp-Table-Saw/1001071462,Lowe's,199,,,,,,,ryobi-rts12,The Ryobi RTS12 is a similar sub-$250 jobsite saw with a folding stand.,genesis-gts10sb,The Genesis GTS10SB is a cheaper full kit with stand and accessories.,dewalt-dwe7491rs,The DeWalt DWE7491RS is a large step up in fence accuracy and rip capacity.,Draft,7/7/2026,"NEEDS QA 7/6/2026. Price $199 REPORTED (Lowe's page is JS-gated; corroborated by Pro Tool Reviews / SlickDeals). Big-box only (Lowe's), no preferred affiliate link. Confirm live price before Live.",2026-07-06
genesis-gts10sb,Genesis GTS10SB 10 in. 15 Amp Table Saw with Stand,Genesis,Table Saw,2015,7/6/2026,,120V,,,,,58,2.25,Weekend Warrior,"This suits a hobbyist or occasional DIYer who wants a complete package that works out of the box for light woodworking and small projects. It is happiest with thinner stock, plywood, and craft work. If you regularly rip thick hardwood or need to run the saw hard for hours, it will frustrate you.","Comes with stand, blade, and accessories for one low price | Self-aligning fence locks square without much fuss | Die-cast aluminum top is flatter than plastic-top rivals | Light and simple to set up and store",Overload breaker can trip when ripping thick hardwood | Blade guard is flimsy and awkward | Not meant for heavy or all-day cutting | Parts and support are harder to find than major brands,"It takes standard 10-inch, 5/8-inch arbor blades, so a better carbide blade is the obvious first move. There is no dado support. The 2-1/4 inch dust port is a little undersized, so you may want an adapter to fit a common shop vac hose, and a shop-built sled improves crosscut accuracy.",https://www.walmart.com/ip/Genesis-10-Inch-Table-Saw-With-Stand-GTS10SB/49054372,Walmart,223,,,,,,,ryobi-rts08,The Ryobi RTS08 is a cheaper 8-1/4 inch compact from a bigger brand.,craftsman-cmxetax69434502,The Craftsman CMXETAX has a sturdier roll cage and name-brand support.,ryobi-rts12,The Ryobi RTS12 steps up to a rack-and-pinion fence and folding stand.,Draft,7/7/2026,"NEEDS QA 7/6/2026. Price $223 REPORTED (Walmart; Amazon listing was out of stock). Dust port 2-1/4 in (nonstandard). Some specs (45 depth, weight) not cleanly published. Confirm availability/price before Live.",2026-07-06
dewalt-dwe7491rs,DeWalt DWE7491RS 10-Inch Jobsite Table Saw with Rolling Stand,DeWalt,Table Saw,2013,7/6/2026,2,120V,,,,,90,2.5,Hobbyist,"This is the saw a lot of woodworkers land on when they want jobsite portability without giving up rip accuracy. It suits a garage shop where the saw has to fold away between projects, and it holds up fine for hobbyists cutting cabinet parts, furniture stock, and sheet goods.","The rack-and-pinion fence locks down square and stays put | The 15-amp motor rips hardwood without bogging | The rolling stand goes from folded to ready in a few seconds | Storage on the saw keeps the guard, wrenches, and push stick close by",It is heavy and awkward to lift on and off the stand by yourself | The stock miter gauge feels cheap next to the rest of the saw | Above-table dust collection lets fine dust escape | The price has crept up over the years and now sits near the top of this range,"It takes standard 10-inch blades and stacked dado sets up to 13/16 inch with the dado throat plate, sold separately. The fence and rails are part of the saw and are not meant to be swapped, so most owners upgrade the blade and add a shop vac at the 2.5-inch port.",https://www.acmetools.com/dewalt-10in-jobsite-table-saw-32-1-2in-rip-capacity-rolling-stand-dwe7491rs/885911329163.html,Acme Tools,649,,,,,,,bosch-4100xc-10,The Bosch 4100XC swaps the rolling stand for a gravity-rise design and adds soft-start.,metabo-hpt-c10rjs,"The Metabo HPT C10RJS offers 35 inches of rip, the widest here.",ryobi-rts12,The Ryobi RTS12 is a much cheaper basic jobsite saw for lighter work.,Live,7/7/2026,"New 7/6/2026. Price $649 at Acme (cart-gated on page; consistent street price, at the top of the Hobbyist band). Sits above $650 at some retailers. 2 HP (15A).",2026-07-06
bosch-4100xc-10,Bosch 4100XC-10 10-Inch Worksite Table Saw with Gravity-Rise Wheeled Stand,Bosch,Table Saw,2020,7/6/2026,,120V,,,,,58,2.5,Hobbyist,"If you move the saw around the shop or take it to a site, the gravity-rise stand is the reason to pick this one. It fits a hobbyist who wants smooth, quiet cuts and a genuinely good safety setup, and it works well for furniture and trim work.",The gravity-rise stand tips up and rolls over gravel and thresholds with almost no effort | Soft-start keeps the motor quiet and easy on the arms | The SquareLock fence sets parallel and stays there | Cuts come out smooth with very little vibration,"The stand is heavy and takes up a lot of floor space when folded | The fence occasionally drifts and wants a quick recheck | Rip capacity tops out at 30 inches, less than some saws in this price range | There is not much onboard storage for accessories","It runs standard 10-inch blades and accepts a stacked dado set with the optional dado insert. The fence and rails are integral to the saw, so upgrades usually mean a better blade and a shop vac hooked to the 2.5-inch port. The gravity-rise stand is specific to Bosch and is included.",https://www.acmetools.com/worksite-table-saw-10-gravity-rise-4100xc-10/000346639773.html,Acme Tools,599,,,,,,,dewalt-dwe7491rs,The DeWalt DWE7491RS has a bigger 32.5 inch rip and rolling stand at a similar price.,metabo-hpt-c10rjs,The Metabo HPT C10RJS gives the widest rip in the class at 35 inches.,grizzly-g0962,The Grizzly G0962 steps up to a stationary hybrid with cast iron and a 4-inch port.,Live,7/7/2026,"New 7/6/2026. Price $599 at Acme (cart-gated on page; consistent street price). HP not published (15A, marketed 4 max developed HP). Cut depths flagged for spec-sheet confirm.",2026-07-06
metabo-hpt-c10rjs,Metabo HPT C10RJS 10-Inch Jobsite Table Saw with Fold and Roll Stand,Metabo HPT,Table Saw,2020,7/6/2026,,120V,,,,,96,2.5,Hobbyist,"The big draw here is 35 inches of rip capacity, the widest in this group, which makes breaking down full sheets of plywood a lot easier. It fits a hobbyist who works with sheet goods often and wants a large table and a fold-and-roll stand at a fair price.","The 35-inch rip capacity handles wide sheet goods that cramp other jobsite saws | The work table is roomy and supports bigger panels | The motor has an electric brake and soft start that feel reassuring | For what it costs, you get a lot of saw","The bevel adjustment is stiff and the lock can nudge the angle a few degrees off | The stock fence is fine but takes some fiddling to trust | It is a heavy saw to move even on the rolling stand | You see it less at woodworking stores, so hands-on comparison is harder","It takes standard 10-inch blades and accepts a stacked dado set with the dado insert. The fence and rails come with the saw and are not designed to be replaced, so most owners upgrade the blade first and connect a vacuum to the 2.5-inch dust port. The fold-and-roll stand is included.",https://www.acmetools.com/metabo-hpt-10in-jobsite-table-saw-with-fold-roll-stand-c10rjsm/717709027831.html,Acme Tools,549,,,,,,,dewalt-dwe7491rs,The DeWalt DWE7491RS has a similar rolling stand but 32.5 inches of rip.,bosch-4100xc-10,The Bosch 4100XC trades rip width for a gravity-rise stand and soft-start.,sawstop-cts-120a60,The SawStop CTS adds a flesh-sensing safety brake at a higher price.,Live,7/7/2026,New 7/6/2026. Price $549 VERIFIED in Acme page structured data (was $599). Sold as C10RJSM at Acme. HP not published (15A).,2026-07-06
ridgid-r4514,Ridgid R4514 15-Amp 10-Inch Pro Jobsite Table Saw with Stand,Ridgid,Table Saw,2019,7/6/2026,,120V,,,,,80,2.5,Hobbyist,"This one appeals to hobbyists who like the idea of Ridgid lifetime service coverage and want a saw with a deep 3-1/2 inch cut for thick stock. It works for general shop projects and holds a spot as a solid Home Depot pickup, especially if you already buy Ridgid tools there.",The 3-1/2 inch cut depth handles thicker material than most jobsite saws | The 15-amp motor with soft-start ramps up smoothly | The Lifetime Service Agreement covers parts and service for free once you register | The cast-aluminum table feels solid for the price,"The clamping fence is the part owners complain about most and takes patience to set parallel | It uses a clamp fence instead of the rack-and-pinion setup rivals have | It is a heavy saw to move around | You can only buy it at Home Depot, so comparing it in person against other brands is tough","It runs standard 10-inch blades and accepts a stacked dado set with the dado throat plate. Aftermarket zero-clearance and dado inserts are available. The fence is the common upgrade target, though not a simple swap, so most owners tune the stock fence, fit a better blade, and run a vacuum on the 2.5-inch port.",https://www.homedepot.com/p/RIDGID-15-Amp-10-in-Portable-Corded-Pro-Jobsite-Table-Saw-with-Stand-R4514/309415135,Home Depot,549,,,,,,,dewalt-dwe7491rs,The DeWalt DWE7491RS uses a rack-and-pinion fence instead of a clamp fence.,bosch-4100xc-10,The Bosch 4100XC adds a gravity-rise stand and soft-start.,metabo-hpt-c10rjs,The Metabo HPT C10RJS offers 35 inches of rip for less.,Draft,7/7/2026,NEEDS QA 7/6/2026. Price $549 REPORTED (Home Depot exclusive; no preferred affiliate link and no Amazon ASIN for the saw). HP not published (15A). Confirm live price; decide affiliate approach.,2026-07-06
grizzly-g0962,"Grizzly G0962 10"" 2 HP Open-Stand Hybrid Table Saw",Grizzly,Table Saw,2021,7/6/2026,2,120V/240V,,,,,297,4,Serious Hobbyist,"This is for the hobbyist who wants a stationary saw with cast-iron trunnions and a real 4-inch dust port but does not want to spend cabinet-saw money. It fits a dedicated garage or basement shop where the saw stays put most of the time. If you are stepping up from a portable saw and plan to do furniture and cabinet work, it gives you room to grow.",Cast-iron table and cabinet-mounted trunnions keep cuts accurate and calm the vibration | The 4-inch dust port and enclosed shroud pull chips well for a saw at this price | The 2 HP motor powers through thick hardwood without complaint | Comes prewired for a normal 120V outlet and rolls on a built-in mobile base,"The stock fence works but many owners swap it for something beefier down the road | Getting the fence and trunnions dialed in at setup takes some patience | The open stand lets a bit of dust drift out the bottom | It ships by freight, which adds cost and the rare dinged-in-transit story","Runs any 10-inch blade and accepts a stacked dado up to 13/16 inch. The fence and rails can be replaced with a Biesemeyer-style or T-glide setup if you want more precision, and rewiring to 240V is straightforward for a bit more headroom. Pair the 4-inch port with a real dust collector and it stays clean.",https://www.grizzly.com/products/grizzly-10-2-hp-open-stand-hybrid-table-saw/g0962,Grizzly,1195,,,,,,,sawstop-cts-120a60,The SawStop CTS adds a safety brake but drops to a portable design.,sawstop-contractor-saw-cns,The SawStop CNS steps up to a safety brake on a full contractor saw.,grizzly-g1023rl,The Grizzly G1023RL is a full 3 HP cabinet saw for more power.,Live,7/7/2026,"New 7/6/2026. Price $1,195 VERIFIED on grizzly.com (plus ~$199 freight), In Stock. 2 HP induction. Shipping weight 297 lbs.",2026-07-06
sawstop-cts-120a60,SawStop Compact Table Saw (CTS-120A60),SawStop,Table Saw,2022,7/6/2026,,120V,,,,,68,2.5,Serious Hobbyist,"This is for the woodworker who puts safety first and wants the flesh-sensing brake in the smallest, most affordable SawStop. It suits a tight shop or anyone who carries the saw between a garage and a job, since it weighs under 70 pounds but still swings a full 10-inch blade. Parents teaching kids, or anyone who has had a close call, gravitate to this one.",The safety brake stops the blade on skin contact and is the whole reason people choose it | The rack-and-pinion fence squares up easily and holds its setting | Light enough to carry by the handle yet cuts a full 3-1/8 inches deep | Build quality and finish feel a cut above most portable saws,"It will not run a dado stack, so grooves and rabbets take another method | The 2-1/2 inch dust port and collection are only so-so | The direct-drive motor is louder and buzzier than a belt-driven saw | You pay extra for the safety tech, and a brake trip means buying a new cartridge and usually a new blade","Takes standard 10-inch blades but no dado sets, since the compact drivetrain cannot handle them. A folding stand and zero-clearance inserts are available from SawStop, and a shop vac on the 2-1/2 inch port improves cleanup. If dado capability matters, SawStop points buyers to its larger Jobsite Saw Pro instead.",https://www.sawstop.com/product/compact-table-saw/,SawStop,899,https://www.rockler.com/sawstop-10-compact-tablesaw,Rockler,899,,,,sawstop-contractor-saw-cns,The SawStop CNS is a full contractor saw with the same brake and more power.,grizzly-g0962,The Grizzly G0962 is a stationary hybrid with more power but no safety brake.,metabo-hpt-c10rjs,The Metabo HPT C10RJS is a cheaper jobsite saw without the brake.,Live,7/7/2026,"New 7/6/2026. Price $899 VERIFIED (sawstop.com and Rockler). HP intentionally unpublished by SawStop (15A). Compact/portable, not contractor/hybrid.",2026-07-06
delta-36-725t2,Delta 36-725T2 10 in. Contractor Table Saw,Delta,Table Saw,2019,7/6/2026,1.75,120V,,,,,232,2.5,Serious Hobbyist,"A good first serious saw for someone moving out of the jobsite-saw world who wants a real induction motor and a fence they can trust. It suits a one-car-garage shop where you want cabinet-saw manners without cabinet-saw money or a 240V circuit. If most of your work is furniture and cabinet parts on a budget, this is a sensible landing spot.",Belt-driven induction motor runs quiet and rips hardwood without bogging | The T-square fence locks down square and stays put cut after cut | Cast-iron main table is flat and gives a smooth work surface | Hard to beat the capability you get for around seven hundred dollars,"Dust collection is the weak spot and really wants a shop vac helping the lower port | The extension wings are stamped steel, not cast iron | A few owners got saws banged up in shipping and found support slow to respond | It runs on 120V only, so there is no bump to 240V later","Takes any standard 10-inch blade and handles a 13/16-inch stacked dado set with the throat plate. The Biesemeyer-style fence and rails can be swapped for a longer aftermarket setup, and adding an over-arm dust hood plus a shop vac on the lower port cleans up the dust story. It bolts onto a common mobile base.",https://www.amazon.com/dp/B083XLLZPP,Amazon,679,,,,,,,grizzly-g0962,The Grizzly G0962 is an enclosed hybrid with a 4-inch dust port and 2 HP.,dewalt-dwe7491rs,The DeWalt DWE7491RS is a cheaper portable jobsite saw.,sawstop-cts-120a60,The SawStop CTS trades power for a flesh-sensing safety brake.,Draft,7/7/2026,NEEDS QA 7/6/2026. Price ~$679 REPORTED (Lowe's reference; Amazon page bot-blocked). No preferred-retailer visible price; big-box/Amazon channel. 1.75 HP induction. Confirm price before Live.,2026-07-06
skilsaw-spt99-11,"Skilsaw SPT99-11 10"" Heavy-Duty Worm Drive Table Saw with Stand",Skilsaw,Table Saw,2017,7/6/2026,,120V,,,,,90,2.5,Serious Hobbyist,"This is the saw for someone who wants jobsite portability with more grunt than a typical direct-drive portable, thanks to worm-drive gearing borrowed from Skilsaw circular saws. It fits a hobbyist who moves the saw around or works out of a garage and occasionally hauls it to a site. Anyone ripping a lot of thick, dense stock on a portable will appreciate the extra torque.",The worm-drive motor keeps its speed through hardwood that bogs down lighter saws | You get a 30-1/2 inch rip and a deep 3-5/8 inch cut at 90 degrees | The rack-and-pinion fence sets square and stays there | The rolling stand with big wheels handles rough ground and loads into a truck easily,The plastic dust chute is flimsy and tends to crack | The stamped miter gauge feels like an afterthought | The stand leveling feet spin around while you try to adjust them | The stand assembly instructions are vague and take some trial and error,"Runs any 10-inch blade and takes a stacked dado set with the optional dado throat plate. The fence and rails are built into the saw and are not really meant to be swapped, so upgrades center on a better blade, a real miter gauge, and a shop vac on the 2-1/2 inch port. It ships on its own heavy-duty rolling stand.",https://www.amazon.com/dp/B07657FP2G,Amazon,649,,,,,,,dewalt-dwe7491rs,The DeWalt DWE7491RS is a lighter direct-drive jobsite saw with a rolling stand.,bosch-4100xc-10,The Bosch 4100XC adds a gravity-rise stand and soft-start.,metabo-hpt-c10rjs,The Metabo HPT C10RJS gives the widest 35 inch rip in the jobsite class.,Draft,7/7/2026,NEEDS QA 7/6/2026. Price ~$649 REPORTED (Amazon; Acme masks price; Atlas lists $799.99). Worm-drive direct. HP not published (15A). 45 depth estimated. Confirm price before Live.,2026-07-06
sawstop-contractor-saw-cns,"SawStop Contractor Saw CNS175 (30"" Premium Fence)",SawStop,Table Saw,2015,7/6/2026,1.75,120V/240V,,,,,249,4,Semi-Pro,"This is the saw for a home woodworker who wants the blade-stopping safety system without paying cabinet-saw money. It fits a two-car-garage shop and runs on a standard 120V outlet out of the box, so you can plug it in the day it arrives. If you have kids around the shop or you just value keeping all ten fingers, this is the entry point into the SawStop world.",The safety brake genuinely works and gives real peace of mind | Build quality feels a step above most contractor saws | The riving knife and guard are easy to take off and put back so people actually use them | Runs quiet and smooth on a belt drive,"The 1.75 HP motor slows down in thick, dense hardwood | You pay a premium mostly for the safety tech | Dust collection is only okay because the back of the cabinet is open | A brake activation means buying a new cartridge and a new blade","You can step up to a 36 or 52 inch T-Glide fence and rail at purchase or later, and the saw takes an 8-inch dado stack with the dedicated dado brake cartridge and insert. Convert the motor to 240V for a slightly stronger pull, add the matching mobile base, and bolt on the overarm dust collection guard for better above-table pickup.",https://www.sawstop.com/build/contractor-saw/,SawStop,1999,,,,,,,sawstop-cts-120a60,The SawStop CTS is the smaller portable saw with the same safety idea.,sawstop-pcs-3hp-professional-cabinet-saw,The SawStop PCS steps up to a 3 HP cabinet saw with better dust collection.,grizzly-g1023rl,The Grizzly G1023RL trades the safety brake for a full 3 HP cabinet saw at a similar price.,Live,7/7/2026,"New 7/6/2026. Price $1,999 VERIFIED on sawstop.com Build & Price (CNS175, 30 in Premium Fence). Also at Acme/Rockler. 1.75 HP.",2026-07-06
jet-proshop-ii-jps-10,"Jet ProShop II 10"" Table Saw (JPS-10, 30"" rip)",Jet,Table Saw,2018,7/6/2026,1.75,115V,,,,,236,4,Semi-Pro,"Reach for the ProShop II if you want a Jet-quality saw that runs on a regular 115V circuit and you do not have 240V in the garage. It suits a hobbyist building furniture and small cabinets who wants good safety features and tidy onboard storage. The stamped-wing version keeps the price down, while the cast-wing option is there if you want a flatter, heavier top.","The magnetic paddle switch and quick-release riving knife make daily use simple | Onboard storage keeps the wrenches, guard, and push stick with the saw | The single-belt design is easy to tension and runs smooth | Dust pickup improved over the previous ProShop","The 1.75 HP motor on 115V asks you to slow down in thick hardwood | The stamped steel wings on the base model can flex, so many people upgrade to cast iron | A 30 inch rip fence is a little tight for full sheets of plywood | It ships by freight and returns carry a restocking fee","You can buy the cast-iron-wing or 52 inch fence version instead of upgrading later, and the saw accepts an 8-inch dado stack up to 13/16 inch. Add a compatible mobile base, run a real 4-inch hose to the port, and fit a quality blade. This model is 115V only, so there is no 240V conversion.",https://www.woodcraft.com/products/jet-proshop-ii-10-table-saw-with-stamped-steel-wings-and-30-rip-capacity-1-3-4-hp-1-ph-115v-jps-10,Woodcraft,2089,,,,,,,laguna-fusion-f2,The Laguna Fusion F2 is a hybrid with standout dust collection at a similar price.,grizzly-g0962,The Grizzly G0962 is a cheaper hybrid with a 4-inch port.,grizzly-g1023rl,The Grizzly G1023RL steps up to a 3 HP cabinet saw.,Live,7/7/2026,"New 7/6/2026. Price $2,089 VERIFIED on Woodcraft page (JPS-10, stamped-wing 30 in). 115V only. 1.75 HP.",2026-07-06
grizzly-g1023rl,"Grizzly G1023RL 10"" 3 HP 240V Cabinet Table Saw",Grizzly,Table Saw,2011,7/6/2026,3,240V,,,,,471,4,Semi-Pro,"This is the saw for a woodworker who wants full 3 HP cabinet-saw muscle and does not want to spend north of three grand to get it. It needs a 240V circuit and a spot it can stay put, so it suits a dedicated garage or basement shop. If you rip a lot of thick hardwood and want a heavy, stable machine that will outlast lighter saws, this is a lot of iron for the price.",The 3 HP motor powers through thick hardwood without slowing | Heavy cast-iron trunnions and table stay dialed in once you set them | It runs quiet and smooth on the Poly-V belt | Widely called the best value in full-size cabinet saws,The included Shop Fox Classic fence is the weak spot and many owners swap it | Freight shipping sometimes brings a warped insert or minor damage to sort out | At 471 pounds you will want a second person and a mobile base to move it | The warranty is only one year,"Takes an 8-inch dado stack up to 13/16 inch with the included insert, and you can add long rails to push rip capacity to 53 inches. A Biesemeyer-style aftermarket fence is a popular upgrade over the stock Shop Fox, and a mobile base makes it rollable. It is already 240V, so no motor conversion is needed.",https://www.grizzly.com/products/grizzly-10-3-hp-240v-cabinet-table-saw/g1023rl,Grizzly,2371,,,,,,,sawstop-contractor-saw-cns,The SawStop CNS trades some power for a flesh-sensing safety brake.,powermatic-pm2000b-3hp-table-saw,The Powermatic PM2000B is a premium 3 HP cabinet saw with a heavier trunnion.,grizzly-g0962,The Grizzly G0962 is a cheaper 2 HP hybrid for smaller shops.,Live,7/7/2026,"New 7/6/2026. Price $2,371 VERIFIED on grizzly.com (list $2,695, plus ~$349 freight), In Stock. 3 HP, 240V.",2026-07-06
laguna-fusion-f2,"Laguna Fusion F2 Table Saw (1.75 HP, 36"" rip)",Laguna,Table Saw,2019,7/6/2026,1.75,110V,,,,,275,4,Semi-Pro,"The F2 Fusion is aimed at the home shop that cares about a clean workspace and easy mobility. Its enclosed base and above-blade guard pickup catch far more dust than an open contractor saw, and the casters are already built into the cabinet so you can roll it out of the way. It runs on a 110V circuit and suits furniture and cabinet work in a small to medium shop.",Dust collection is genuinely good with pickup above and below the blade | The mobility kit is built into the cabinet so you can roll it anywhere | The High/Low Euro fence flips for thin stock and pulls back for safer crosscuts | The cast-iron top and arbor adjustments feel smooth and precise,At 1.75 HP on 110V it is not built for heavy hardwood ripping | A 36 inch rip fence is a bit tight for full sheets | The fence and throat plate feel a step below the bigger F3 | Some owners wish it had more power for the price,"The saw accepts an 8-inch dado stack up to 3/4 inch using the Laguna Fusion dado insert, and it comes with the High/Low fence and rail already. Add a zero-clearance insert, connect a 4-inch hose to the main port and a small hose to the blade-guard port for near-dustless cutting, and drop in a better blade. The built-in casters mean no separate mobile base, and it is 110V only.",https://www.rockler.com/laguna-f2-fusion-1-75hp-table-saw-36-ripfence,Rockler,1999,,,,,,,jet-proshop-ii-jps-10,The Jet ProShop II is a similar 115V hybrid at a close price.,grizzly-g0962,The Grizzly G0962 is a cheaper hybrid with a 4-inch port.,sawstop-contractor-saw-cns,The SawStop CNS adds a flesh-sensing safety brake.,Live,7/7/2026,"New 7/6/2026. Price $1,999 VERIFIED on Rockler page (F2 Fusion, 36 in fence). 110V only. 1.75 HP.",2026-07-06
sawstop-pcs-3hp-professional-cabinet-saw,"SawStop Professional Cabinet Saw 3HP (PCS31230-TGP236, 36"" T-Glide)",SawStop,Table Saw,2009,7/6/2026,3,240V,,,,,426,4,Professional,"This is the saw for woodworkers who want the safety brake and are willing to pay for it. It fits serious hobbyists and pros running a 240V shop who want a cabinet saw that arrives well tuned and stays accurate. If finger safety is high on your list, this is the obvious pick.",The skin-sensing brake works as promised and gives real peace of mind | Fence and blade alignment are quick to set and hold their tune | The T-Glide fence slides smoothly and locks square every time | Three horsepower rips hardwood without bogging down,"The overarm dust collection could be better and many owners rig up their own fix | The blade guards block your view of the cut | Saws can arrive slightly out of alignment after shipping | You pay to replace a brake cartridge if it fires, including on wet or metallic stock","Takes any standard 10-inch blade and an 8-inch dado stack up to 29/32 inch with the separate dado brake cartridge and insert. Works with SawStop overarm dust collection, integrated router tables, outfeed tables, and a mobile base, and the 36 inch rails can be swapped for a 52 inch setup.",https://www.sawstop.com/product/professional-cabinet-saw-pcs31230-tgp236/,SawStop,3881,,,,,,,sawstop-ics-3hp-industrial-cabinet-saw,The SawStop ICS is the heavier industrial version of the same safety saw.,powermatic-pm2000b-3hp-table-saw,The Powermatic PM2000B is a 3 HP cabinet saw without the safety brake.,sawstop-contractor-saw-cns,"The SawStop CNS is a lighter, cheaper contractor saw with the same brake.",Live,7/7/2026,"New 7/6/2026. Price $3,881 VERIFIED on sawstop.com (3 HP, 36 in T-Glide). 3 HP, 240V.",2026-07-06
